Gene	Mutant	No.	size	flowering	t1	t2	t3	t4
AT3G13890	MYB26	1	7.6	3	0	0	0	0
AT3G13890	MYB26	2	6.5	3	1	1	8	20
AT3G13890	MYB26	3	7.0	3	1	17	13	59
AT3G13890	MYB26	4	7.0	3	1	14	35	102
AT3G13890	MYB26	5	6.0	3	1	0	0	0
AT3G13890	MYB26	6	5.5	3	0	0	0	0
AT3G13890	MYB26	7	4.5	7	0	0	0	0
AT3G13882	AT3G13882	1	2.8	23	0	0	0	0
AT3G13882	AT3G13882	2	2.0	23	3	0	0	0
AT3G13882	AT3G13882	3	3.3	17	1	0	0	0
AT3G13882	AT3G13882	4	4.0	14	1	4	12	46
AT3G13882	AT3G13882	5	2.5	20	0	0	0	0
AT3G13882	AT3G13882	6	4.0	14	1	14	17	28
AT3G13882	AT3G13882	7	4.3	17	0	0	0	0
AT3G13882	AT3G13882	8	3.5	20	0	0	0	0
AT3G13882	AT3G13882	9	2.0	23	0	0	0	0
AT3G13882	AT3G13882	10	4.5	17	0	0	0	0
AT3G13898	EPFL3	1	5.8	10	0	0	0	0
AT3G13898	EPFL3	2	6.0	7	2	11	39	89
AT3G13898	EPFL3	3	6.0	7	0	0	0	0
AT3G13898	EPFL3	4	6.8	7	10	25	71	195
AT3G13898	EPFL3	5	6.5	7	1	2	11	7
AT3G13898	EPFL3	6	7.0	7	1	6	6	2
AT3G13898	EPFL3	7	5.0	10	3	25	53	153
AT3G13898	EPFL3	8	6.5	3	5	27	18	30
AT3G13898	EPFL3	9	6.3	10	2	0	0	0
AT3G13898	EPFL3	10	7.0	7	0	0	0	0
WT	WT	1	4.5	10	0	0	0	0
WT	WT	2	5.0	10	2	10	10	54
WT	WT	3	5.5	10	7	11	38	74
WT	WT	4	6.0	10	0	0	0	0
WT	WT	5	6.0	10	2	6	14	41
WT	WT	6	5.5	10	0	0	0	0
WT	WT	7	5.5	10	2	26	56	126
WT	WT	8	5.5	10	0	0	0	0
WT	WT	9	5.5	14	1	6	18	29
WT	WT	10	4.8	14	2	0	0	0
