gwasID,Bolting,InitLeafLen,log_BbLe_max
10022,1,28,2.48490665
6039,0,33,2.079441542
8329,1,30,3.912023005
6914,0,30,3.583518938
6924,0,23,0.693147181
6927,0,37,0
7298,1,45,2.48490665
6932,1,24,2.63905733
7296,1,33,0
6944,1,44,3.63758616
8310,1,35,2.890371758
6965,0,30,0
6974,0,24,2.944438979
7258,1,31,0
8314,1,24,2.833213344
8237,0,37,0
6008,1,28,3.526360525
6971,0,51,0
6968,0,24,0.693147181
6917,0,35,0
8246,0,25,0.693147181
7515,0,23,0
8234,0,25,1.945910149
6923,1,23,3.871201011
6961,0,38,0
6901,0,12,3.17805383
6243,0,38,2.63905733
6040,0,22,0
6074,0,38,0
8300,0,21,1.609437912
6915,0,30,0
7133,1,25,1.386294361
7525,0,26,0
7417,0,26,0
8389,1,35,1.609437912
7523,0,34,0
8419,1,39,3.871201011
6916,0,31,0
8388,1,32,1.945910149
6910,1,30,1.791759469
6919,0,15,0
6903,0,19,0
8222,0,41,0
8337,0,30,0
6904,0,36,0
6936,0,42,2.397895273
7521,0,23,0.693147181
8326,0,40,0
8312,1,41,0
7438,0,41,0
8259,0,34,0
6940,1,18,0
8283,0,22,0
7522,0,30,0
8351,0,28,0
6909,0,36,1.098612289
6982,1,28,1.098612289
6009,0,26,0
6900,0,24,0
6938,0,30,0
7327,0,43,1.791759469
6939,1,27,1.791759469
8311,1,27,0
8274,0,41,0
7461,0,25,1.098612289
6992,1,30,3.713572067
6945,0,36,0
8215,0,32,0
6926,1,36,2.079441542
6953,0,28,0
8247,0,27,0
7081,1,27,1.098612289
7415,1,14,0
6928,0,35,0
7524,0,30,0
8271,0,22,0
6922,1,20,1.791759469
7300,0,31,0
8378,1,20,3.688879454
6960,1,32,0.693147181
9058,0,33,0
6929,0,30,0.693147181
8334,0,40,1.098612289
6956,0,35,0
8258,0,26,0
8412,1,31,3.688879454
8366,0,34,1.098612289
8426,1,23,0
6970,0,34,3.091042453
6709,0,30,0
6906,1,25,0
6959,1,35,1.098612289
8214,0,15,0
8231,0,31,0
7015,1,33,3.044522438
7033,0,27,0
6977,0,26,0
6946,0,20,1.386294361
6951,0,34,0
8270,0,40,0.693147181
6963,1,43,3.761200116
7275,1,11,1.386294361
6987,1,34,0.693147181
6918,0,31,0
6930,1,33,0
6981,1,32,3.258096538
8422,0,30,0.693147181
6899,1,22,0
8233,0,25,0
8285,1,35,0.693147181
8424,0,45,1.609437912
6975,0,30,1.609437912
6969,0,29,0
8386,0,26,0
6978,1,20,2.63905733
8323,1,26,0.693147181
7287,0,28,0.693147181
9057,0,30,0
6979,1,31,0.693147181
6937,0,35,1.791759469
6962,1,15,3.583518938
8213,1,34,2.48490665
8304,1,22,3.33220451
8343,1,26,3.526360525
6909,1,20,1.098612289
6976,0,35,0.693147181
6920,0,25,0
6897,0,27,1.609437912
6967,1,31,0.693147181
8354,1,34,1.098612289
8256,0,25,0
6980,0,29,0
7323,1,35,1.791759469
8325,1,33,1.791759469
6043,0,24,3.218875825
8275,0,25,0
6966,0,30,0
8430,0,38,0.693147181
6958,0,38,0
8313,0,23,0.693147181
6898,1,23,3.713572067
6983,0,30,0
6972,1,25,3.33220451
8242,0,41,0
8241,0,35,0
6933,0,26,0
8306,0,26,0.693147181
8290,1,31,0.693147181
8395,0,40,0
7514,0,31,0
6943,1,23,1.791759469
8284,0,21,0
7418,1,40,0
5719,0,39,0.693147181
6931,1,35,1.386294361
8335,0,29,0.693147181
8376,0,30,0.693147181
8353,1,41,3.33220451
7186,1,31,2.197224577
7520,0,28,0
6988,0,45,0
7207,0,36,0
6984,1,22,1.791759469
6016,0,31,0
8243,0,32,0
7516,0,40,3.17805383
6911,0,37,3.135494216
7517,0,41,2.63905733
