"GOout.GO","GOout.p_val"
"GO:0003700",2.5e-05
"GO:0045893",3.1e-05
"GO:0080151",0.000487
"GO:0005515",0.000554
"GO:0042409",0.000558
"GO:0016042",0.0014
"GO:0009862",0.002796
"GO:0005779",0.002901
"GO:0120029",0.003251
"GO:0048868",0.004376
"GO:0007031",0.00501
"GO:0006612",0.005232
"GO:0008553",0.005869
"GO:0045298",0.005876
"GO:0007166",0.006209
"GO:0006355",0.007077
"GO:1900057",0.007447
"GO:0031011",0.007719
"GO:0016597",0.00827
"GO:0004033",0.009187
"GO:0022841",0.009324
"GO:0030322",0.009324
"GO:0006511",0.010016
"GO:0015662",0.010111
"GO:0009737",0.010226
"GO:0000976",0.01044
"GO:0070301",0.01184
"GO:0009739",0.012524
"GO:0031625",0.013089
"GO:0032968",0.01393
"GO:0090333",0.014015
"GO:1900037",0.014145
"GO:0009759",0.014461
"GO:0007143",0.014672
"GO:0005347",0.014726
"GO:0015217",0.014871
"GO:0015866",0.014871
"GO:0015867",0.014871
"GO:0008361",0.015238
"GO:0010304",0.015538
"GO:0045944",0.015589
"GO:0019346",0.016373
"GO:0035616",0.0165
"GO:0071819",0.0165
"GO:0016579",0.01664
"GO:0019707",0.017907
"GO:0006636",0.018743
"GO:0019343",0.01934
"GO:0090391",0.019602
"GO:0048507",0.019684
"GO:0010030",0.020137
"GO:0010821",0.020237
"GO:1901333",0.021991
"GO:0017101",0.022504
"GO:0071310",0.022549
"GO:0009966",0.022857
"GO:0019137",0.02294
"GO:0050105",0.023654
"GO:1902025",0.023734
"GO:0102799",0.023931
"GO:0009505",0.024328
"GO:0062091",0.024415
"GO:0080064",0.025034
"GO:0035308",0.025097
"GO:1901599",0.025114
"GO:0006880",0.02512
"GO:0009868",0.025397
"GO:0005801",0.025615
"GO:0034220",0.025738
"GO:0015271",0.026028
"GO:0050832",0.027309
"GO:0010089",0.027575
"GO:0090307",0.027611
"GO:0005640",0.028486
"GO:0009875",0.028644
"GO:1901698",0.02894
"GO:0009815",0.029223
"GO:0044375",0.029252
"GO:0010039",0.029642
"GO:0051418",0.029751
"GO:0051415",0.029751
"GO:1901701",0.029784
"GO:0004721",0.029886
"GO:0006386",0.029915
"GO:0006357",0.030391
"GO:0005778",0.03049
"GO:1904668",0.030494
"GO:1905786",0.030494
"GO:0004601",0.030694
"GO:0007140",0.031128
"GO:0035673",0.032302
"GO:0009060",0.032541
"GO:0030134",0.032551
"GO:0004722",0.0336
"GO:0046961",0.034384
"GO:0048829",0.034845
"GO:0006098",0.034915
"GO:0009682",0.035115
"GO:0018230",0.035225
"GO:0071541",0.035543
"GO:0071458",0.035599
"GO:0031493",0.035611
"GO:0016114",0.036202
"GO:0030259",0.036326
"GO:0000981",0.036583
"GO:0042127",0.036638
"GO:0016627",0.03674
"GO:0048655",0.037531
"GO:0015714",0.037762
"GO:0007030",0.038163
"GO:0097552",0.038439
"GO:0010371",0.038502
"GO:0048766",0.038979
"GO:0043067",0.038998
"GO:0016805",0.039524
"GO:0045489",0.040041
"GO:0035066",0.040161
"GO:0048446",0.040313
"GO:0048444",0.040564
"GO:0010344",0.040705
"GO:0003885",0.040904
"GO:0030981",0.041159
"GO:0005793",0.041368
"GO:0030388",0.041405
"GO:0003978",0.041561
"GO:0009517",0.041657
"GO:0070816",0.042974
"GO:0061630",0.043013
"GO:0043565",0.043636
"GO:0048038",0.044434
"GO:0003674",0.044516
"GO:0043130",0.044534
"GO:0005887",0.044539
"GO:0005200",0.044865
"GO:0048281",0.045403
"GO:0015914",0.045476
"GO:0018026",0.045713
"GO:0043047",0.046069
"GO:0071258",0.046545
"GO:0005685",0.046663
"GO:0048240",0.046695
"GO:0080187",0.046866
"GO:0034758",0.047133
"GO:0006425",0.047328
"GO:1901528",0.047796
"GO:0045168",0.047917
"GO:0051245",0.049297
"GO:0006422",0.049447
"GO:0010331",0.049495
"GO:0051641",0.049912
"GO:0022627",0.050177
"GO:0008643",0.051125
"GO:2000039",0.051541
"GO:2000377",0.052093
"GO:0000967",0.052556
"GO:0003785",0.053066
"GO:0015079",0.053235
"GO:0009827",0.053243
"GO:0045174",0.054223
"GO:0004024",0.055203
"GO:0004615",0.055276
"GO:1901371",0.055352
"GO:0030104",0.056435
"GO:0003962",0.056438
"GO:0010372",0.056563
"GO:0006662",0.057096
"GO:0008131",0.057211
"GO:0080121",0.057807
"GO:1901679",0.057807
"GO:0006091",0.058477
"GO:0006723",0.059011
"GO:0009769",0.059085
"GO:0071219",0.059608
"GO:1901957",0.060296
"GO:0031386",0.060437
"GO:0034613",0.060531
"GO:0048462",0.060747
"GO:0071491",0.061362
"GO:0004520",0.062361
"GO:1901617",0.062382
"GO:0043447",0.062882
"GO:0045165",0.06303
"GO:0019706",0.063123
"GO:0043162",0.063153
"GO:0071554",0.063473
"GO:0098789",0.064307
"GO:0008195",0.064801
"GO:0015713",0.064899
"GO:0046294",0.065109
"GO:0045901",0.06582
"GO:0004839",0.06584
"GO:0009515",0.065853
"GO:0071367",0.065971
"GO:0048366",0.066253
"GO:0007186",0.067807
"GO:0008353",0.067839
"GO:0071555",0.06791
"GO:0010150",0.068337
"GO:0010052",0.068356
"GO:2000280",0.069374
"GO:0043813",0.07022
"GO:0009938",0.070282
"GO:0042779",0.070383
"GO:0110102",0.071267
"GO:0048440",0.071415
"GO:0002221",0.072464
"GO:0048232",0.07253
"GO:0006813",0.072748
"GO:0006094",0.073103
"GO:0016413",0.073308
"GO:0006644",0.073465
"GO:0003712",0.073602
"GO:0001401",0.07366
"GO:0015450",0.073803
"GO:0010082",0.073983
"GO:0045277",0.074817
"GO:0009567",0.075244
"GO:0042546",0.075493
